colour	y	x	showSelectedlegendcolour	PANEL	group
#0000FF	0.75	-2	true.prob	1	1
#0000FF	0.75	-1.97989949748744	true.prob	1	1
#0000FF	0.75	-1.95979899497487	true.prob	1	1
#0000FF	0.75	-1.93969849246231	true.prob	1	1
#0000FF	0.75	-1.91959798994975	true.prob	1	1
#0000FF	0.75	-1.89949748743719	true.prob	1	1
#0000FF	0.75	-1.87939698492462	true.prob	1	1
#0000FF	0.75	-1.85929648241206	true.prob	1	1
#0000FF	0.75	-1.8391959798995	true.prob	1	1
#0000FF	0.75	-1.81909547738693	true.prob	1	1
#0000FF	0.75	-1.79899497487437	true.prob	1	1
#0000FF	0.75	-1.77889447236181	true.prob	1	1
#0000FF	0.75	-1.75879396984925	true.prob	1	1
#0000FF	0.75	-1.73869346733668	true.prob	1	1
#0000FF	0.75	-1.71859296482412	true.prob	1	1
#0000FF	0.75	-1.69849246231156	true.prob	1	1
#0000FF	0.75	-1.678391959799	true.prob	1	1
#0000FF	0.75	-1.65829145728643	true.prob	1	1
#0000FF	0.75	-1.63819095477387	true.prob	1	1
#0000FF	0.75	-1.61809045226131	true.prob	1	1
#0000FF	0.75	-1.59798994974874	true.prob	1	1
#0000FF	0.75	-1.57788944723618	true.prob	1	1
#0000FF	0.75	-1.55778894472362	true.prob	1	1
#0000FF	0.75	-1.53768844221106	true.prob	1	1
#0000FF	0.75	-1.51758793969849	true.prob	1	1
#0000FF	0.75	-1.49748743718593	true.prob	1	1
#0000FF	0.75	-1.47738693467337	true.prob	1	1
#0000FF	0.75	-1.4572864321608	true.prob	1	1
#0000FF	0.75	-1.43718592964824	true.prob	1	1
#0000FF	0.75	-1.41708542713568	true.prob	1	1
#0000FF	0.75	-1.39698492462312	true.prob	1	1
#0000FF	0.75	-1.37688442211055	true.prob	1	1
#0000FF	0.75	-1.35678391959799	true.prob	1	1
#0000FF	0.75	-1.33668341708543	true.prob	1	1
#0000FF	0.75	-1.31658291457286	true.prob	1	1
#0000FF	0.75	-1.2964824120603	true.prob	1	1
#0000FF	0.75	-1.27638190954774	true.prob	1	1
#0000FF	0.75	-1.25628140703518	true.prob	1	1
#0000FF	0.75	-1.23618090452261	true.prob	1	1
#0000FF	0.75	-1.21608040201005	true.prob	1	1
#0000FF	0.75	-1.19597989949749	true.prob	1	1
#0000FF	0.75	-1.17587939698492	true.prob	1	1
#0000FF	0.75	-1.15577889447236	true.prob	1	1
#0000FF	0.75	-1.1356783919598	true.prob	1	1
#0000FF	0.75	-1.11557788944724	true.prob	1	1
#0000FF	0.75	-1.09547738693467	true.prob	1	1
#0000FF	0.75	-1.07537688442211	true.prob	1	1
#0000FF	0.75	-1.05527638190955	true.prob	1	1
#0000FF	0.75	-1.03517587939699	true.prob	1	1
#0000FF	0.75	-1.01507537688442	true.prob	1	1
#0000FF	0.75	-0.994974874371859	true.prob	1	1
#0000FF	0.75	-0.974874371859297	true.prob	1	1
#0000FF	0.75	-0.954773869346734	true.prob	1	1
#0000FF	0.75	-0.934673366834171	true.prob	1	1
#0000FF	0.75	-0.914572864321608	true.prob	1	1
#0000FF	0.75	-0.894472361809045	true.prob	1	1
